nickname,age,gender,rate,review
とまちゃん6512さん,40代,女性,5,大満足(*^。^*)とても速い発送でした！辛さも超辛くて(*^。^*)！パーフェクト！お気に入り店にチェックしました！
購入者さん,,,5,"やみつき甘辛くて美味しいすごい辛いけど美味しくって病みつき！
5個入りなんかあっという間に食べちゃったので箱で買わなきゃ！"
購入者さん,,,5,今まで食べた中で一番辛かったです。でも癖になる味です。
購入者さん,,,5,激辛！すごく辛いです！自分では食べれないくらい辛いので周りの辛いもの好きの人にあげています！食べたことない人はぜひチャレンジを！
購入者さん,,,5,"これはネットで買えて嬉しいです
かなり辛いの好きな人じゃないとだめかもしれません。
結構びりつくけどにおいも味もおいしいです。
あと、お店の対応がすごくよかったです。"
ハンコちゃんさん,30代,女性,5,"いちばん辛いいままで食べたインスタントの中でいちばん辛かったです。
舌がしびれるぐらい・・・・。
食べた後の爽快感がたまらなく、ただ辛いだけですが好きです。"
makemakeさん,30代,女性,5,"激辛！！辛い物は大の得意ですが、こちらは想像以上に本格的に辛くて大満足です！
どうせ辛さが足りないだろう・・と一味をかけて食べたらちょっと後悔しました(笑)
汁なしタイプの麺が大好きなので、こちらはとてもはまります！
半熟卵とモヤシをトッピングしたら合いました。炒めたキャベツも合いました。"
購入者さん,,,5,とにかく辛旨い！！この商品は今回初めて頼んでみました！ほかの方も言っている通り、とても辛いです！辛党の私には辛い＋旨いが合わさっているこの商品リピート決定です！！
sr77さん,30代,女性,4,まだ食べてませんが、汁なしも美味しそう!!と買ってみました。期待を込めて☆4
購入者さん,,,4,"激辛！！作り方がハングルで読めません。予想外。数字だけでみて作りました。
味は美味しい！麺ももちもち。ただ、辛ラーメンの何倍も辛い！！鼻水に涙流しながら食べました。でも辛すぎて噛めない(笑)"
購入者さん,,,5,チャレンジ！[受注番号] 243254-20140113-0354957323 食べた事がないのですが、激辛！に惹かれて注文しました、届くのが楽しみです！
ユナ6990さん,20代,女性,5,プルタク早く食べたいまだ届いてない５日も過ぎましたけど待ち遠いです
はな05098さん,30代,女性,4,個人的に三養のラーメンがお気に入りなのでちょっと試してみたいと思って購入しました。味がまだわからないので☆4つです。
購入者さん,,,5,リピです。やみつきです。美味しい！辛い！美味しい！辛い！と繰り返して完食してます。胃のことも考えて牛乳を飲んでから食べてます。モッツァレラチーズをのせて食べると辛味が弱まり食べやすいです。
SR.Kさん,20代,女性,5,"本場の辛さ二回目の購入です。
どうせ日本輸出用のものだろうと思いきや
韓国で販売してるものと全く同じ！
味は好きですが、辛いので
ソースは少し残してトッポギ作るときに入れたりしてます。美味しいです"
ぁーっー0127さん,20代,女性,5,"とても辛いけどヤミツキです！
またリピートさせてもらいます！"
購入者さん,,,3,"味が好みではなかった(T_T)いつも辛ラーメンを食べていて、さらに辛いというプルダックを食べたいと思っていても田舎なので辛ラーメンしか売っていなくて、ネットで買ってみました。
感想は、味が好みではなかったです。たしかに辛さはあるけど、辛いというよりも甘くてねっちょりとした感じで香りも好みではない。
スコヴィル値は辛ラーメンよりも辛いはずなのに、あまり辛く感じず残念。
唯一 麺はもちもちで辛ラーメンよりも好きかも？
追記
豆板醤やホットソースを入れてみたら、甘さが抑えられておいしく食べられました！"
りさ0670さん,20代,女性,2,大好きなのに……ハーラルのマークがありました……ハーラルと、普通のじゃ味全然違いますよね……？？？画像にもハーラルのマークなかったのでほんとうにがっかりです、5袋×5セットも買ったのに……
Casablancas2さん,20代,女性,3,"ショップの対応は良いと思います。発送は早くはないですが包装がしっかりしていて良かったです☆
プルダックは味は美味しいですが、これを食べた後必ずお腹を壊します。辛いものが大好きでよく食べるので辛いからって訳じゃないと思いますが、、何か私の身体に合わないものが入っているのかもしれません。そう思っていても美味しくて食べちゃうのですが、時間を考えて食べるようにしています。"
hanapigさん,30代,女性,3,"激辛でした！！
一口食べただけであとは…ごめんなさい。"
ヤマちゃん1001さん,60代,男性,3,辛いだけのうま味なしやはり海外生産品です。日本人の口には合いません。うま味なし。
購入者さん,,,1,泣きながら食べてる映像を見て興味を持ち注文しました。本当やばいくらい辛いです！！！！でも食べたくなるし辛いしの繰り返しでした。
Naomi♪5917さん,20代,女性,1,"届かないなぁ。4日に頼んで、
メールが来たかと思えば、
システムエラーで発送が遅れます。
またメールがきて、
今週中にはお手元に届くはずです！
待っていたが届かず、
次の週にきてしまいました。
もう12日待っています。今日は届くかな。。
初めて頼んだのに残念です。"
購入者さん,,,3,"おいしいけど辛くない味は韓国のインスタントの中でバツグンにおいしいです。
ただ、売りの辛さは・・イマイチ。"
購入者さん,,,3,"本当に辛いです。気をつけて！火を吐く辛さ。唇から舌、口の中が痛くて、汗より先に鼻水が滝のように出て来ました。辛いものは大好きですが、これは、本当に辛い！
辛すぎて、味がわかりません(;^_^A"
paiosさん,20代,男性,3,悪くはないいです。悪くはないいです。悪くはないいです。
購入者さん,,,3,辛いがおいしい初めて食べました。めっちゃ辛くて完食できません。でもおいしいです。おいしいから食べたいけど口が痛くて食べれない。ので星三つです。
プーチャン324さん,40代,女性,3,"挑戦初めて購入します。
どれだけ辛いのか今から楽しみです。"
